,值
1515,428.894928
1516,426.456451
1517,425.439117
1518,426.8326
1519,428.962067
1520,427.9451
1521,429.845367
1522,425.779663
1523,430.808563
1524,431.772583
1525,433.8366
1526,436.440216
1527,433.512726
1528,437.665863
1529,432.193817
1530,430.836731
1531,434.266449
1532,437.011169
1533,431.7331
1534,431.3648
1535,434.850677
1536,435.271149
1537,429.501251
1538,434.597626
1539,434.611816
1540,428.105469
1541,429.263916
1542,432.385834
1543,430.938934
1544,430.77774
1545,426.4048
1546,428.67514
1547,430.520477
1548,433.0457
1549,435.7939
1550,430.738464
1551,434.528076
1552,434.72583
1553,430.672028
1554,428.062347
1555,428.65332
1556,428.997284
1557,424.897278
1558,428.884674
1559,432.884277
1560,428.486755
1561,428.995819
1562,430.5095
1563,436.870026
1564,422.437531
1565,424.44046
1566,427.175476
1567,427.010956
1568,427.860046
1569,423.913025
1570,429.413483
1571,427.010284
1572,426.8475
1573,427.0218
1574,426.116547
1575,427.745972
1576,426.384766
1577,428.5839
1578,425.182465
1579,426.6399
1580,425.9815
1581,425.567169
1582,426.919922
1583,425.218933
1584,425.334351
1585,428.972656
1586,432.404175
1587,430.098175
1588,427.9915
1589,427.978027
1590,431.0087
1591,432.628052
1592,432.152771
1593,428.5351
1594,429.1141
1595,434.679016
1596,431.6463
1597,434.0259
1598,434.423035
1599,428.178619
1600,432.044464
1601,433.80368
1602,434.5063
1603,433.1499
1604,435.171173
1605,432.322327
1606,431.544037
1607,432.731049
1608,431.383881
1609,434.0876
1610,433.32
1611,431.4437
1612,435.671417
1613,428.301758
1614,428.183716
1615,427.648315
1616,430.477722
1617,430.931458
1618,432.793762
1619,431.46817
1620,432.061554
1621,431.602722
1622,438.289551
1623,433.96933
1624,428.5471
1625,428.454132
1626,432.5106
1627,435.92
1628,433.350433
1629,429.722015
1630,431.88443
1631,432.30777
1632,437.394836
1633,426.103149
1634,423.856445
1635,429.579865
1636,430.246918
1637,430.224365
1638,429.3384
1639,425.3767
1640,426.043945
1641,426.412262
1642,426.882141
1643,429.668243
1644,428.077057
1645,426.377136
1646,422.18692
1647,422.463654
1648,426.3745
1649,426.662231
1650,424.9938
1651,419.888824
1652,422.422852
1653,421.937561
1654,426.7887
1655,422.063721
1656,422.365936
1657,426.5445
1658,423.4781
1659,423.735229
1660,427.9541
1661,425.189117
1662,424.27124
1663,428.13208
1664,430.006042
1665,430.4264
1666,432.8361
1667,432.878021
1668,435.3175
1669,431.752869
1670,430.2944
1671,431.359619
1672,434.739624
1673,437.870728
1674,432.048279
1675,435.6273
1676,438.060669
